opportunity_id,name,client_name,owner,created_date,id_length
0068c00000ovdl3,5&5 Development,5&5 Development,Kevin Brandon,2022-04-21 00:00:00,15
006Rj00000LHAy9,ABN Group,ABN Group,Jack Alla,2025-04-24 00:00:00,15
006Rj00000IvjKc,Almond Branch Homes,Almond Branch Homes,Jack Alla,2025-02-14 00:00:00,15
006Rj00000Lja1d,Alturas Homes,Alturas Homes,Jack Alla,2025-05-06 00:00:00,15
006Rj00000Dhaol,Alturas Homes,Alturas Homes,Sam Nichols,2024-09-19 00:00:00,15
006Rj00000K4Jrl,Aspen homes,Aspen homes,Anthony Dimaggio,2025-03-20 00:00:00,15
006Rj00000LHISf,Away Digital,Away Digital,Jack Alla,2025-04-24 00:00:00,15
006Rj00000JcAY7,Azali Homes,Azali Homes,Jack Alla,2025-03-07 00:00:00,15
006Rj00000Ev1H4,Back 9 Development,Back 9 Development,Anthony Dimaggio,2024-10-24 00:00:00,15
006Rj00000LHHZs,Bear Homes,Bear Homes,Anthony Dimaggio,2025-04-24 00:00:00,15
006Rj000008ETlV,Belmonte Builders,Belmonte Builders,Sam Nichols,2024-04-18 00:00:00,15
006Rj00000LHBW6,Berks Homes,Berks Homes,Sam Nichols,2025-04-24 00:00:00,15
006Rj00000FKLyx,Blackstone Homes,Blackstone Homes,Jack Alla,2024-11-06 00:00:00,15
006Rj00000LHFUt,Blue Heron,Blue Heron,Sophia Jackson,2025-04-24 00:00:00,15
006Rj00000EMLKH,Brighton Homes Utah,Brighton Homes Utah,Sam Nichols,2024-10-08 00:00:00,15
006Rj00000F4Tnd,Brittenum Construction Company,Brittenum Construction Company,Carissa Anderson,2024-10-29 00:00:00,15
006Rj00000Mtcpa,Brohn Homes,Brohn Homes,Jack Alla,2025-06-06 00:00:00,15
006Rj00000EF0in,Build On Your Land,Build On Your Land,Sophia Jackson,2024-10-04 00:00:00,15
006Rj00000K3QQf,CBH Homes,CBH Homes,Sophia Jackson,2025-03-20 00:00:00,15
006Rj00000LHMT3,Cambridge Homes,Cambridge Homes,Jack Alla,2025-04-24 00:00:00,15
006Rj00000JAK4U,Capstone Homes - Minnesota,Capstone Homes - Minnesota,Anthony Dimaggio,2025-02-21 00:00:00,15
006Rj00000DFnNX,Caruso Homes,Caruso Homes,Sam Nichols,2024-09-06 00:00:00,15
006Rj00000K68Du,Center Park Group,Center Park Group,Sophia Jackson,2025-03-21 00:00:00,15
006Rj00000Ev88r,Central Builders,Central Builders,Anthony Dimaggio,2024-10-24 00:00:00,15
006Rj00000LHWQn,Central Builders,Central Builders,Anthony Dimaggio,2025-04-24 00:00:00,15
0068c00000yliPU,Challenger Homes,Challenger Homes,Carissa Anderson,2023-11-23 00:00:00,15
006Rj00000K3hmU,Cornerstone Development,Cornerstone Development,Anthony Dimaggio,2025-03-20 00:00:00,15
006Rj00000ErYt7,"Cristo Homes, Inc.","Cristo Homes, Inc.",Sam Nichols,2024-10-23 00:00:00,15
006Rj00000LHEgn,DRB design,DRB design,Sophia Jackson,2025-04-24 00:00:00,15
